timestamp,current_position,target_position,error,effort
1775638124843423032,0.1795,0.1800,0.0005,-97.5261
1775638124845108357,0.1795,0.1800,0.0005,-97.5261
1775638124846742376,0.1795,0.1800,0.0005,-97.5261
1775638124848428773,0.1795,0.1800,0.0005,-97.5261
1775638124850381667,0.1795,0.1800,0.0005,-97.5261
1775638124852094252,0.1795,0.1800,0.0005,-97.5261
1775638124853680024,0.1795,0.1800,0.0005,-97.5261
1775638124855707939,0.1795,0.1800,0.0005,-97.5261
1775638124857349139,0.1795,0.1800,0.0005,-97.5261
1775638124858999836,0.1795,0.1800,0.0005,-97.5261
1775638124860471659,0.1795,0.1800,0.0005,-97.5261
1775638124861897075,0.1795,0.1800,0.0005,-97.5261
1775638124863458907,0.1795,0.1800,0.0005,-97.5261
1775638124865019116,0.1795,0.1800,0.0005,-97.5261
1775638124866925701,0.1795,0.1800,0.0005,-97.5261
1775638124868560033,0.1795,0.1800,0.0005,-97.5261
1775638124870068186,0.1795,0.1800,0.0005,-97.5261
1775638124872053095,0.1795,0.1800,0.0005,-97.5261
1775638124873712446,0.1795,0.1800,0.0005,-97.5261
1775638124875464179,0.1795,0.1800,0.0005,-97.5261
1775638124877214758,0.1795,0.1800,0.0005,-97.5261
1775638124878747218,0.1795,0.1800,0.0005,-97.5261
1775638124880214956,0.1795,0.1800,0.0005,-97.5261
1775638124881904961,0.1795,0.1800,0.0005,-97.5261
1775638124883772008,0.1795,0.1800,0.0005,-97.5261
1775638124886003000,0.1795,0.1800,0.0005,-97.5261
1775638124887604525,0.1795,0.1800,0.0005,-97.5261
1775638124889266129,0.1795,0.1800,0.0005,-97.5261
1775638124890887633,0.1795,0.1800,0.0005,-97.5261
1775638124892774325,0.1795,0.1800,0.0005,-97.5261
1775638124894601533,0.1795,0.1800,0.0005,-97.5261
1775638124896272900,0.1795,0.1800,0.0005,-97.5261
1775638124898259622,0.1795,0.1800,0.0005,-97.5261
1775638124900028122,0.1795,0.1800,0.0005,-97.5261
1775638124901921584,0.1795,0.1800,0.0005,-97.5261
1775638124903967011,0.1795,0.1800,0.0005,-97.5261
1775638124905711672,0.1795,0.1800,0.0005,-97.5261
1775638124907879429,0.1795,0.1800,0.0005,-97.5261
1775638124909489143,0.1795,0.1800,0.0005,-97.5261
1775638124910997938,0.1795,0.1800,0.0005,-97.5261
1775638124912824203,0.1795,0.1800,0.0005,-97.5261
1775638124914547421,0.1795,0.1800,0.0005,-97.5261
1775638124916105384,0.1795,0.1800,0.0005,-97.5261
1775638124918353360,0.1795,0.1800,0.0005,-97.5261
1775638124920070336,0.1795,0.1800,0.0005,-97.5261
1775638124921821977,0.1795,0.1800,0.0005,-97.5261
1775638124923502393,0.1795,0.1800,0.0005,-97.5261
1775638124925112115,0.1795,0.1800,0.0005,-97.5261
1775638124926567514,0.1795,0.1800,0.0005,-97.5261
1775638124928721442,0.1795,0.1800,0.0005,-97.5261
1775638124930540926,0.1795,0.1800,0.0005,-97.5261
1775638124932234251,0.1795,0.1800,0.0005,-97.5261
1775638124933748862,0.1795,0.1800,0.0005,-97.5261
1775638124935265790,0.1795,0.1800,0.0005,-97.5261
1775638124936808906,0.1795,0.1800,0.0005,-97.5261
1775638124938368165,0.1795,0.1800,0.0005,-97.5261
1775638124940027711,0.1795,0.1800,0.0005,-97.5261
1775638124941629860,0.1795,0.1800,0.0005,-97.5261
1775638124943201116,0.1795,0.1800,0.0005,-97.5261
1775638124945021259,0.1795,0.1800,0.0005,-97.5261
1775638124946676283,0.1795,0.1800,0.0005,-97.5261
1775638124948315321,0.1795,0.1800,0.0005,-97.5261
1775638124950649349,0.1795,0.1800,0.0005,-97.5261
1775638124952229178,0.1795,0.1800,0.0005,-97.5261
1775638124953712064,0.1795,0.1800,0.0005,-97.5261
1775638124955617650,0.1795,0.1800,0.0005,-97.5261
1775638124957126390,0.1795,0.1800,0.0005,-97.5261
1775638124959008906,0.1795,0.1800,0.0005,-97.5261
1775638124960683286,0.1795,0.1800,0.0005,-97.5261
1775638124962864606,0.1795,0.1800,0.0005,-97.5261
1775638124964632811,0.1795,0.1800,0.0005,-97.5261
1775638124966102615,0.1795,0.1800,0.0005,-97.5261
1775638124967699606,0.1795,0.1800,0.0005,-97.5261
1775638124969334925,0.1795,0.1800,0.0005,-97.5261
1775638124970715611,0.1795,0.1800,0.0005,-97.5261
1775638124972305963,0.1795,0.1800,0.0005,-97.5261
1775638124973927518,0.1795,0.1800,0.0005,-97.5261
1775638124975665618,0.1795,0.1800,0.0005,-97.5261
1775638124977237218,0.1795,0.1800,0.0005,-97.5261
1775638124979243831,0.1795,0.1800,0.0005,-97.5261
1775638124980781393,0.1795,0.1800,0.0005,-97.5261
1775638124982467624,0.1795,0.1800,0.0005,-97.5261
1775638124984083592,0.1795,0.1800,0.0005,-97.5261
1775638124985543737,0.1795,0.1800,0.0005,-97.5261
1775638124987368344,0.1795,0.1800,0.0005,-97.5261
1775638124988991016,0.1795,0.1800,0.0005,-97.5261
1775638124990600806,0.1795,0.1800,0.0005,-97.5261
1775638124992189994,0.1795,0.1800,0.0005,-97.5261
1775638124993756795,0.1795,0.1800,0.0005,-97.5261
1775638124995352678,0.1795,0.1800,0.0005,-97.5261
1775638124997019713,0.1795,0.1800,0.0005,-97.5261
1775638124998490757,0.1795,0.1800,0.0005,-97.5261
1775638124999914799,0.1795,0.1800,0.0005,-97.5261
1775638125001500526,0.1795,0.1800,0.0005,-97.5261
1775638125003267480,0.1795,0.1800,0.0005,-97.5261
1775638125004888586,0.1795,0.1800,0.0005,-97.5261
1775638125006542387,0.1795,0.1800,0.0005,-97.5261
1775638125008137066,0.1795,0.1800,0.0005,-97.5261
1775638125009766978,0.1795,0.1800,0.0005,-97.5261
1775638125011366799,0.1795,0.1800,0.0005,-97.5261
1775638125012890257,0.1795,0.1800,0.0005,-97.5261
1775638125014447564,0.1795,0.1800,0.0005,-97.5261
1775638125016033446,0.1795,0.1800,0.0005,-97.5261
1775638125017474309,0.1795,0.1800,0.0005,-97.5261
1775638125019088797,0.1795,0.1800,0.0005,-97.5261
1775638125020663616,0.1795,0.1800,0.0005,-97.5261
1775638125022370170,0.1795,0.1800,0.0005,-97.5261
1775638125023979836,0.1795,0.1800,0.0005,-97.5261
1775638125025763185,0.1795,0.1800,0.0005,-97.5261
1775638125027511122,0.1795,0.1800,0.0005,-97.5261
1775638125029028700,0.1795,0.1800,0.0005,-97.5261
1775638125030789642,0.1795,0.1800,0.0005,-97.5261
1775638125032823913,0.1795,0.1800,0.0005,-97.5261
1775638125034925189,0.1795,0.1800,0.0005,-97.5261
1775638125036946364,0.1795,0.1800,0.0005,-97.5261
1775638125038409358,0.1795,0.1800,0.0005,-97.5261
1775638125040304970,0.1795,0.1800,0.0005,-97.5261
1775638125041823327,0.1795,0.1800,0.0005,-97.5261
1775638125043631170,0.1795,0.1800,0.0005,-97.5261
1775638125045335255,0.1795,0.1800,0.0005,-97.5261
1775638125047415814,0.1795,0.1800,0.0005,-97.5261
1775638125049107477,0.1795,0.1800,0.0005,-97.5261
1775638125050779303,0.1795,0.1800,0.0005,-97.5261
1775638125052718848,0.1795,0.1800,0.0005,-97.5261
1775638125054339413,0.1795,0.1800,0.0005,-97.5261
1775638125055965116,0.1795,0.1800,0.0005,-97.5261
1775638125057599868,0.1795,0.1800,0.0005,-97.5261
1775638125059297538,0.1795,0.1800,0.0005,-97.5261
1775638125060805070,0.1795,0.1800,0.0005,-97.5261
1775638125062588601,0.1795,0.1800,0.0005,-97.5261
1775638125064296731,0.1795,0.1800,0.0005,-97.5261
1775638125065773178,0.1795,0.1800,0.0005,-97.5261
